epoch,acc,loss,val_acc,val_loss
0,0.5305031446540881,0.7171122769889591,0.5690954773869347,0.6821934068622302
1,0.5584905654379407,0.650257563516029,0.5816582911577656,0.6478591854847855
2,0.6034591204715225,0.6687982447492251,0.6620603006089752,0.6169425311999105
3,0.6443396221166887,0.6266555273307944,0.6783919603980366,0.5865976076629293
4,0.6902515714273513,0.5908934962824456,0.6884422110552764,0.5725041052803921
5,0.7279874206339039,0.5370700707975423,0.7110552757828679,0.5221565305887155
6,0.736792452905163,0.5119207762697208,0.7236180910513029,0.48163662828392717
7,0.7528301878545269,0.48089023892234706,0.7625628137708309,0.4694859993517698
8,0.7745283024116132,0.450024469356117,0.7512562808079936,0.4201409181757788
9,0.7830188676246307,0.4316155347059358,0.7788944726613298,0.41333532797631306
10,0.7883647791244699,0.412829338379626,0.798994974574851,0.3890735682231098
11,0.8031446540880504,0.39755021791038275,0.7889447230190488,0.4106908039231995
12,0.8091194973051923,0.37626760639484574,0.7914572858331191,0.3935518372598006
13,0.8207547162313881,0.3632821276502789,0.8316582911577656,0.3498919621184843
14,0.8298742135365804,0.34939662592965853,0.8291457289427369,0.35432424063059553
15,0.8283018864925552,0.33701224773185057,0.8203517590934907,0.34346437589008005
16,0.8339622650506362,0.34087971823770297,0.8065326636161038,0.3634518062948582
17,0.8349056600774609,0.33994312841187485,0.8077889441245765,0.3592801212365903
18,0.8323899377067134,0.3312278587488258,0.7914572858331191,0.3584005591557853
19,0.8389937099420799,0.31749998136136515,0.8002512556823653,0.369524572063331
20,0.8393081758007314,0.31476283005948336,0.8379396975938999,0.34095625347228503
21,0.8474842775542781,0.30419697566602216,0.8216080399014842,0.34129788610503903
22,0.8308176102128418,0.31311510111550866,0.8379396975938999,0.3387037996371188
23,0.8465408809529911,0.29495186854458455,0.8153266340643917,0.3580214394696394
24,0.8427672949227147,0.30186013466906997,0.8492462302572165,0.32429914243856267
25,0.8374213845474915,0.2980259118215093,0.8253768841225897,0.347567677947145
26,0.8408805041193212,0.2977029552999532,0.8291457277446536,0.3544622396104899
27,0.8396226408346644,0.3159487133131087,0.7939698492462312,0.35105475657549333
28,0.8358490575784407,0.3172261452899789,0.8479899488501812,0.34015368516121677
29,0.8405660370610795,0.29616939245529894,0.8278894463376184,0.3436814123721578
30,0.8421383652297206,0.2930935255386544,0.8354271353788711,0.34379985868631296
31,0.8424528304136024,0.29741192752460266,0.8442211046290757,0.3570802473842199
32,0.8481132084468626,0.28849906512776263,0.831658290558724,0.36337938524969856
33,0.8481132076971186,0.2939459524814438,0.8454773872341942,0.3588059956404432
34,0.8547169817318706,0.2804394303252862,0.8216080405005258,0.3582827185206677
35,0.8496855336165278,0.2793077475244894,0.8241206027155545,0.3554767130068199
36,0.8540880505393886,0.27662449897085345,0.8253768847216314,0.34609022391501384
37,0.8559748433670907,0.2819504271888133,0.8103015069386468,0.3582846541260954
38,0.8459119490857394,0.2820053807219619,0.8354271359779127,0.35953872841806267
39,0.8544025158732192,0.27476006146496945,0.8165829148723851,0.3698651068773701
40,0.8452830193927453,0.27684001472761044,0.8492462302572165,0.35778010071222505
41,0.8462264148694164,0.2788311020383295,0.8329145731638424,0.35041209291573144
42,0.852201258011584,0.2665022725953996,0.8379396987919832,0.3632666877466231
43,0.8499999990253329,0.27568665740999787,0.8417085418150053,0.360716860797537
44,0.8462264152442884,0.27790967368479796,0.8555276378914339,0.33972090078358674
45,0.8537735842308908,0.27021516838913445,0.836683417384948,0.3305279306011583
46,0.8512578613353226,0.272851602273917,0.8492462302572165,0.34584325132657534
47,0.8562893073513823,0.27152003042353023,0.8379396987919832,0.3458832529321987
48,0.8572327034278486,0.2656900662671095,0.8128140697527171,0.335100010753277
49,0.849371068432646,0.2673001191900961,0.8429648232220406,0.32574730212964004
