epoch,acc,loss,val_acc,val_loss
0,0.5485480946983919,0.7454925495570022,0.6413043469622515,0.6715395053227743
1,0.6102540833763981,0.7477667616196856,0.6521739113158074,0.5980260095734528
2,0.661978221415608,0.6483188611193275,0.6739130434782609,0.5799719915873762
3,0.6855716876239396,0.5951610759252213,0.6847826069679813,0.555505533149277
4,0.739110707587642,0.5390639014122923,0.7373188397158748,0.5207031032313472
5,0.7586206894388217,0.4957531289807681,0.7753623171129088,0.48575544400491577
6,0.7831215970961888,0.4632266506742003,0.8152173904405124,0.4468783027883889
7,0.8044464610882117,0.429672357012702,0.8097826078318168,0.4378732110279194
8,0.8271324864965601,0.38171520753477967,0.8007246394088303,0.41645463307698566
9,0.8303085298373781,0.37672806683988624,0.8605072455129762,0.35990232617958734
10,0.8393829398925421,0.3499084062563313,0.8641304347826086,0.3515903487585593
11,0.8593466421437134,0.3213995372751447,0.8641304330549379,0.34470948015434155
12,0.8747731398540919,0.3031443987048473,0.8442028985507246,0.3308425761651302
13,0.8688747734642721,0.29585965115664875,0.8749999991361646,0.30328617882037506
14,0.8802177857357447,0.28329604428714505,0.8786231884057971,0.30927839097769366
15,0.8706896548478876,0.287217745898856,0.8659420272578364,0.31834789959416876
16,0.8774954629030938,0.2840822474277171,0.8894927518955176,0.28771360715230304
17,0.8947368422134385,0.24873522613637028,0.8858695652173914,0.3065074369095374
18,0.8852087111092306,0.2503528885962526,0.8913043486899224,0.3079442513593729
19,0.8838475500174313,0.26271825871969523,0.8460144944812941,0.3119285512661588
20,0.8738656984050563,0.2774960405975851,0.8858695660812267,0.32263944999895233
21,0.8874773137582409,0.2627402495883554,0.8278985515884731,0.30244724064633466
22,0.8734119781132402,0.280174135296401,0.8550724646319514,0.30303498736326245
23,0.899727767478749,0.24667309995355277,0.8949275370957195,0.3053845834472905
24,0.8847549908174145,0.24970565144033485,0.894927536231884,0.2736314882834752
25,0.8870235937909509,0.23822623026133016,0.8858695660812267,0.2857434566038242
26,0.8979128853379057,0.233215029167177,0.8840579710144928,0.2725242078304291
27,0.8983666062787743,0.22689840889885723,0.9003623205682506,0.27233735223611194
28,0.9047186930685857,0.21818758604098146,0.8858695634897205,0.2818182173414507
29,0.8974591653706158,0.2305466421016115,0.8858695669450621,0.28920925678550335
30,0.8956442834461233,0.2315294983274491,0.9003623171129088,0.2944481267013412
31,0.8956442830134217,0.22882737043548626,0.9021739113158074,0.2829207949707474
32,0.9110707800747478,0.21576339558118485,0.8931159420289855,0.2909143577883209
33,0.906533575209429,0.20401034051190703,0.9039855081102123,0.2765609719183134
34,0.9074410163339383,0.2082130537789227,0.8949275379595549,0.27219520422859467
35,0.903357531868611,0.2116299089848887,0.8840579701506573,0.2781735585219618
36,0.8997277675869244,0.21093261002574773,0.8586956504462422,0.28323407821033313
37,0.9038112522686026,0.20887941965823165,0.9003623171129088,0.2852422798025435
38,0.8956442830134217,0.22629340252620989,0.8913043478260869,0.28130964492542157
39,0.8992740468624066,0.20917292261080386,0.8731884040694305,0.29713787203249725
40,0.9060798550257881,0.2123656201898078,0.8949275345042131,0.30993333199749823
41,0.9006352089277846,0.2125097937246416,0.9039855055187059,0.3358735696993012
42,0.9015426499441185,0.21591580548271294,0.9021739113158074,0.3584403909634853
43,0.9092558984747816,0.20173430837650264,0.8894927536231884,0.2839894348728484
44,0.8956442833379479,0.2181946716918703,0.894927536231884,0.26730565446010535
45,0.9047186929604103,0.20666733129920198,0.907608693924503,0.2828458776508552
46,0.9024500904195755,0.20083865236673512,0.9003623171129088,0.3034892239173253
47,0.9097096187665977,0.19563435810447388,0.9021739130434783,0.2917389079280522
48,0.9142468236319167,0.19307589693207922,0.9003623171129088,0.3097259613223698
49,0.906079854701262,0.19277505444095702,0.8949275370957195,0.2977777011152627
